model,test_loss,test_acc,test_f1,train_time_sec
ResNet18,0.3530032360553741,0.8815,0.8801743643479026,917.8662219047546
SimpleVSSD,1.9732775344848632,0.2835,0.2683117502256661,92.81572890281676
Official VSSD Micro,,0.12833,,3025.0
