epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.984471067905426,0.68475,0.6809980476924903,0.5040505564212799,0.836,0.8358986805613153
2,0.2923797552585602,0.92225,0.9213308420413062,0.38328688335418704,0.869,0.8706377917766128
3,0.14569654679298402,0.96325,0.9628431149169977,0.35842926406860354,0.876,0.8784798544470502
4,0.07655304133892059,0.984,0.9838316790764374,0.34988772463798523,0.878,0.880368379039249
5,0.04136324760317803,0.994,0.9939475830353827,0.36003354215621947,0.878,0.8792045812385834
