layer,accuracy,f1
0,0.5466666666666666,0.7068965517241379
1,0.6466666666666666,0.6882352941176471
2,0.7233333333333334,0.7507507507507507
3,0.7733333333333333,0.7988165680473372
4,0.77,0.790273556231003
5,0.8033333333333333,0.8090614886731392
6,0.8566666666666667,0.8676923076923077
